Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"Project title: Factors affecting academic performanceResearcher(s): Prashant Athavale. Sumona Mondal, Seema RiveraInstitutional Review Board (IRB) approval number: 20-57.2ESummary of the study: In our efforts to continually improve the quality of education at Clarkson, we are conducting research to better understand the factors affecting students’ performance in university mathematics courses. In this research, we would like to ask you a few questions regarding your study habits in this and other courses. For example, your use of cell phone, and previous performance in AP Calculus and/or Highschool math, Calculus sequence. We then intend to use this information to understand how to improve the effectiveness of instruction. The survey is completely voluntary, and your participation or non-participation will not affect their grades because the instructors will not see the survey until final grades have been assigned. Please read the material below if you are interested in participating in this study.What to expect: The subjects will be asked to fill out a survey. The survey will ask you questions related to your prior and current academic performance, and your cell phone usage habits. The survey should take about 10 minutes to complete.If you have any questions about this research, you may contact Prashant Athavale (prashant@clarkson.edu). Risks and discomforts to you if you take part in this study: There are no risks for you.The benefits to you if you take part in this study: There are no direct benefits to the participants. The research will be used to improve the instruction and will be helpful to students in future classes.What will you receive for taking part in this study: There is no direct compensation for the participants. What will happen to the information collected in this study: The information collected will be kept confidential as much as is permitted by law.The data collected will be kept in the primary investigator’s computer, until the Final grades are posted. Only the investigators will have access to the raw data.The data will be used for statistical research purposes to understand the factors important for improving the quality of education.What rights you have when you take part in this study: Participation in this research is voluntary. Deciding not to take part, or to stop being a part of this research will result in no penalty, fine or loss of benefits that you otherwise have a right to. It is not mandatory for you to answer any questions in the survey. If you are not comfortable with a question you can skip the question, or the entire survey if they choose to do so. Conflict of Interest: The researchers have no financial interest in performing this study. Informed Consent: The survey is completely voluntary, and your participation or non-participation will not affect their grades because the instructors will not see the survey until final grades have been assigned.Click the “Next” button below to show you have had the purpose of this research explained and you have been informed of what to expect and your rights. You should have all your questions answered to your satisfaction. By clicking “Next” you agree to take part in this research. By continuing to the next page, you also attest that you are at least 18 years old. You can print this consent form to keep for your records.","Choose a unique 8-digit alpha-numeric code. The code must start with a letter. If you need to withdraw from the study, you can email prashant@clarkson.edu with this code. In which case, your survey will not be used in the study, and the data will be permanently destroyed.",What is your favorite season?,Which smartphone do you use?,Which operating system do you use on your computer/laptop?,How many minor degrees are you currently pursuing?,Did you take Calculus 1 before attending Clarkson University?,Did you take AP Calculus before joining Clarkson?,Your grade in Calculus 2 (MA132):,"Which of the above courses did you take ""at Clarkson""? (Check all that applies.)",,,"Your “current"" cumulative score in STAT383 on Moodle as a percentage out of 100% (Write the average score of your in-class tests.):","What is your ""previous week’s"" average daily cell phone screen time in hours? (If you use an iPhone please refer to your Screentime App, Android users, please refer to your Digital Well-Being app or give your best estimate.)","Excluding the lectures, how many hours do you study for STAT383 per week?",Do you think that the difficulty level of STAT383 was:,"In the future, would you prefer to have your lectures online or in-person?","Irrespective of your grades, in which format did you learn the course material better?"
118756749775,458984732,12/04/2024 03:04:58 PM,12/04/2024 03:09:05 PM,,,,,,"Yes, I consent to participate in this study",C4201333,Winter,iPhone,Windows,2,Yes,Yes,A,Calculus 2 (MA132),Calculus 3 (MA231),,88,5,4,more than other courses,In-person,In-person format
118756749208,458984732,12/04/2024 03:05:05 PM,12/04/2024 03:09:01 PM,,,,,,"Yes, I consent to participate in this study",E800000313,Summer,iPhone,Windows,0,Yes,Yes,A-,Calculus 2 (MA132),,,70,4,2,more than other courses,In-person,In-person format
118756742222,458984732,12/04/2024 02:57:37 PM,12/04/2024 03:08:46 PM,,,,,,"Yes, I consent to participate in this study",T18u4new,Spring,Android based phone,Windows,1,No,Yes,A-,Calculus 2 (MA132),Calculus 3 (MA231),,70,5,2,less than other courses,In-person,Online format
118756749454,458984732,12/04/2024 03:05:20 PM,12/04/2024 03:08:42 PM,,,,,,"Yes, I consent to participate in this study",,Fall,iPhone,Windows,1,Yes,Yes,A+,,Calculus 3 (MA231),,73,4,0,less than other courses,In-person,In-person format
118756749640,458984732,12/04/2024 03:05:34 PM,12/04/2024 03:08:37 PM,,,,,,"Yes, I consent to participate in this study",J013104J,Winter,iPhone,Mac OS,2,Yes,No,B,Calculus 2 (MA132),Calculus 3 (MA231),,76,8,3,less than other courses,In-person,In-person format
118756749327,458984732,12/04/2024 03:05:14 PM,12/04/2024 03:08:33 PM,,,,,,"Yes, I consent to participate in this study",Gyrthg54,Fall,Android based phone,Windows,2,Yes,Yes,A-,Calculus 2 (MA132),Calculus 3 (MA231),,87,5,3,less than other courses,In-person,In-person format
118756746756,458984732,12/04/2024 03:02:29 PM,12/04/2024 03:08:32 PM,,,,,,"Yes, I consent to participate in this study",A73L84Q1,Fall,iPhone,Windows,0,Yes,No,B-,,,None of the above courses,89,6,0,less than other courses,In-person,In-person format
118756749408,458984732,12/04/2024 03:05:17 PM,12/04/2024 03:08:31 PM,,,,,,"Yes, I consent to participate in this study",K1234567,Summer,iPhone,Mac OS,1,No,No,B-,Calculus 2 (MA132),Calculus 3 (MA231),,60,4,3,about the same as other courses,In-person,In-person format
118756749503,458984732,12/04/2024 03:05:12 PM,12/04/2024 03:08:21 PM,,,,,,"Yes, I consent to participate in this study",AAAAAAAA,Summer,iPhone,Mac OS,1,Yes,No,B,Calculus 2 (MA132),Calculus 3 (MA231),,83,5,2,less than other courses,In-person,In-person format
118756748584,458984732,12/04/2024 03:04:21 PM,12/04/2024 03:08:20 PM,,,,,,"Yes, I consent to participate in this study",a6T8qe4,Spring,Android based phone,Mac OS,1,No,Yes,A-,,,None of the above courses,93,4,3,about the same as other courses,In-person,In-person format
118756749514,458984732,12/04/2024 03:05:27 PM,12/04/2024 03:08:18 PM,,,,,,"Yes, I consent to participate in this study",A1234567,Fall,iPhone,Mac OS,1,Yes,Yes,B,,,None of the above courses,88,4,2,about the same as other courses,In-person,In-person format
118756747595,458984732,12/04/2024 03:03:23 PM,12/04/2024 03:08:15 PM,,,,,,"Yes, I consent to participate in this study",James383,Spring,iPhone,Mac OS,0,Yes,Yes,A-,,,None of the above courses,66,10,4,more than other courses,Online,Online format
118756749588,458984732,12/04/2024 03:05:30 PM,12/04/2024 03:07:59 PM,,,,,,"Yes, I consent to participate in this study",dcar1234,Fall,iPhone,Windows,1,Yes,Yes,A-,,,None of the above courses,60,3,4,more than other courses,In-person,In-person format
118756749566,458984732,12/04/2024 03:05:25 PM,12/04/2024 03:07:57 PM,,,,,,"Yes, I consent to participate in this study",l882004s,Winter,iPhone,Windows,0,Yes,No,C+,Calculus 2 (MA132),Calculus 3 (MA231),,60,5,8,more than other courses,In-person,In-person format
118756747622,458984732,12/04/2024 03:03:22 PM,12/04/2024 03:07:50 PM,,,,,,"Yes, I consent to participate in this study",20-57.2E,Winter,Android based phone,Windows,1,No,No,A+,Calculus 2 (MA132),,,96,14,3,about the same as other courses,In-person,In-person format
118756747154,458984732,12/04/2024 03:02:50 PM,12/04/2024 03:07:32 PM,,,,,,"Yes, I consent to participate in this study",Pp101120,Spring,iPhone,Windows,1,No,No,B,Calculus 2 (MA132),Calculus 3 (MA231),,85,7,2,less than other courses,In-person,In-person format
118756747240,458984732,12/04/2024 03:02:48 PM,12/04/2024 03:07:28 PM,,,,,,"Yes, I consent to participate in this study",M12345678,Fall,Android based phone,Windows,3,Yes,No,B,Calculus 2 (MA132),Calculus 3 (MA231),,70,8,6,about the same as other courses,In-person,In-person format
118756747641,458984732,12/04/2024 03:03:05 PM,12/04/2024 03:07:23 PM,,,,,,"Yes, I consent to participate in this study",A1B2C3D4,Fall,iPhone,Windows,0,No,No,B,Calculus 2 (MA132),Calculus 3 (MA231),,85,3,1,about the same as other courses,In-person,In-person format
118756749351,458984732,12/04/2024 03:05:11 PM,12/04/2024 03:07:19 PM,,,,,,"Yes, I consent to participate in this study",abc12345,Summer,iPhone,Windows,0,No,No,A-,Calculus 2 (MA132),Calculus 3 (MA231),,89,3,2,about the same as other courses,In-person,In-person format
118756749452,458984732,12/04/2024 03:05:19 PM,12/04/2024 03:07:18 PM,,,,,,"Yes, I consent to participate in this study",J9736867,Summer,iPhone,Windows,0,Yes,No,A-,Calculus 2 (MA132),Calculus 3 (MA231),,71,4,2,about the same as other courses,In-person,Online format
118756746738,458984732,12/04/2024 03:02:18 PM,12/04/2024 03:07:13 PM,,,,,,"Yes, I consent to participate in this study",Carolina,Spring,Android based phone,Windows,1,Yes,No,A-,Calculus 2 (MA132),Calculus 3 (MA231),,83,5,2,about the same as other courses,In-person,In-person format
118756748174,458984732,12/04/2024 03:03:50 PM,12/04/2024 03:07:12 PM,,,,,,"Yes, I consent to participate in this study",Ss112933,Winter,iPhone,Windows,0,No,No,C,Calculus 2 (MA132),,,65,9,2,about the same as other courses,In-person,Online format
118756747772,458984732,12/04/2024 03:03:18 PM,12/04/2024 03:07:10 PM,,,,,,"Yes, I consent to participate in this study",A1245679,Winter,iPhone,Windows,1,Yes,Yes,B,Calculus 2 (MA132),Calculus 3 (MA231),,76,13,2,about the same as other courses,In-person,In-person format
118756749033,458984732,12/04/2024 03:04:54 PM,12/04/2024 03:06:55 PM,,,,,,"Yes, I consent to participate in this study",A1234567,Summer,iPhone,Windows,2,Yes,No,A-,Calculus 2 (MA132),Calculus 3 (MA231),,69,12,1,about the same as other courses,In-person,In-person format
118756747200,458984732,12/04/2024 03:02:53 PM,12/04/2024 03:06:49 PM,,,,,,"Yes, I consent to participate in this study",ab567809,Fall,Android based phone,Windows,0,Yes,No,C+,Calculus 2 (MA132),,,49,4,3,about the same as other courses,In-person,In-person format
118756747523,458984732,12/04/2024 03:03:09 PM,12/04/2024 03:06:45 PM,,,,,,"Yes, I consent to participate in this study",A5263r46,Winter,Android based phone,Windows,0,No,Yes,C+,Calculus 2 (MA132),Calculus 3 (MA231),,76,8,4,about the same as other courses,In-person,In-person format
118756747720,458984732,12/04/2024 03:03:32 PM,12/04/2024 03:06:39 PM,,,,,,"Yes, I consent to participate in this study",monk4860,Summer,iPhone,Windows,0,Yes,No,B,Calculus 2 (MA132),,,80,4,3,more than other courses,In-person,Online format
118756747293,458984732,12/04/2024 03:03:06 PM,12/04/2024 03:06:30 PM,,,,,,"Yes, I consent to participate in this study",miskeyrj,Winter,iPhone,Windows,0,Yes,Yes,A+,,,None of the above courses,98,4,1,less than other courses,In-person,In-person format
118756747849,458984732,12/04/2024 03:03:33 PM,12/04/2024 03:06:26 PM,,,,,,"Yes, I consent to participate in this study",Rheas469,Summer,iPhone,Windows,2,Yes,No,A+,Calculus 2 (MA132),Calculus 3 (MA231),,96,6,1,less than other courses,In-person,In-person format
118756747320,458984732,12/04/2024 03:03:07 PM,12/04/2024 03:06:18 PM,,,,,,"Yes, I consent to participate in this study",b2002321,Fall,iPhone,Mac OS,1,No,No,C,Calculus 2 (MA132),Calculus 3 (MA231),,69,8,6,about the same as other courses,In-person,In-person format
118756747180,458984732,12/04/2024 03:02:49 PM,12/04/2024 03:06:12 PM,,,,,,"Yes, I consent to participate in this study",J7251725,Winter,iPhone,Windows,1,Yes,Yes,A,Calculus 2 (MA132),Calculus 3 (MA231),,85,6,1,more than other courses,In-person,In-person format
118756747148,458984732,12/04/2024 03:02:46 PM,12/04/2024 03:06:09 PM,,,,,,"Yes, I consent to participate in this study",12345678,Summer,iPhone,Windows,3,Yes,Yes,A,Calculus 2 (MA132),Calculus 3 (MA231),,86,4,3,more than other courses,In-person,In-person format
118756747756,458984732,12/04/2024 03:03:32 PM,12/04/2024 03:05:54 PM,,,,,,"Yes, I consent to participate in this study",Banana123,Fall,iPhone,Windows,1,Yes,Yes,A-,Calculus 2 (MA132),Calculus 3 (MA231),,75,3,1,about the same as other courses,Online,In-person format
118756747266,458984732,12/04/2024 03:03:05 PM,12/04/2024 03:05:48 PM,,,,,,"Yes, I consent to participate in this study",locke123,Fall,iPhone,Windows,0,Yes,Yes,A-,,,None of the above courses,85,3,2,about the same as other courses,In-person,In-person format
118756748187,458984732,12/04/2024 03:03:51 PM,12/04/2024 03:05:39 PM,,,,,,"Yes, I consent to participate in this study",A1212789,Spring,iPhone,Windows,1,Yes,No,D,Calculus 2 (MA132),Calculus 3 (MA231),,56,6,1,less than other courses,Online,In-person format
118756747537,458984732,12/04/2024 03:03:20 PM,12/04/2024 03:05:17 PM,,,,,,"Yes, I consent to participate in this study",W1432123,Summer,iPhone,Windows,1,Yes,No,A,,,None of the above courses,80,3,6,more than other courses,In-person,In-person format
118756747234,458984732,12/04/2024 03:02:55 PM,12/04/2024 03:05:09 PM,,,,,,"Yes, I consent to participate in this study",12345678,Winter,iPhone,Windows,0,No,No,A,Calculus 2 (MA132),Calculus 3 (MA231),,79,3,0,about the same as other courses,In-person,In-person format
118756749068,458984732,12/04/2024 03:04:08 PM,12/04/2024 03:05:05 PM,,,,,,"Yes, I consent to participate in this study",,,,,,,,,,,,,,,,,
118756747706,458984732,12/04/2024 03:03:28 PM,12/04/2024 03:05:00 PM,,,,,,"Yes, I consent to participate in this study",S0383920,Spring,iPhone,Windows,0,Yes,No,A,Calculus 2 (MA132),,,91,7,2,about the same as other courses,In-person,In-person format
118756747097,458984732,12/04/2024 03:02:51 PM,12/04/2024 03:04:29 PM,,,,,,"Yes, I consent to participate in this study",543432,Fall,iPhone,Windows,2,Yes,Yes,A+,Calculus 2 (MA132),Calculus 3 (MA231),,71,3,2,about the same as other courses,In-person,In-person format
118756747576,458984732,12/04/2024 03:03:20 PM,12/04/2024 03:03:29 PM,,,,,,"Yes, I consent to participate in this study",,,,,,,,,,,,,,,,,
118756742616,458984732,12/04/2024 02:58:03 PM,12/04/2024 03:00:02 PM,,,,,,"Yes, I consent to participate in this study",te202240,Fall,iPhone,Windows,0,No,No,C+,Calculus 2 (MA132),Calculus 3 (MA231),,80,8,0,more than other courses,Online,In-person format
118756731540,458984732,12/04/2024 02:46:13 PM,12/04/2024 02:46:22 PM,,,,,,"Yes, I consent to participate in this study",,,,,,,,,,,,,,,,,
